"date","city","population","migration_rate","median_income","created_at"
"2005-09-01","Toronto",5248132,"112.80","37700.00","2025-11-05 07:48:55.684194"
"2005-09-01","Vancouver",2161810,"32.47","35300.00","2025-11-05 07:48:55.684194"
"2005-09-01","Victoria",335915,"32.47","40933.33","2025-11-05 07:48:55.684194"
"2005-09-01","Winnipeg",715431,"6.25","37600.00","2025-11-05 07:48:55.684194"
"2005-10-01","Calgary",1087482,"13.62","44700.00","2025-11-05 07:48:55.684194"
"2005-10-01","Edmonton",1043043,"13.62","43900.00","2025-11-05 07:48:55.684194"
"2005-10-01","Ottawa",1222671,"112.80","46400.00","2025-11-05 07:48:55.684194"
"2005-10-01","Toronto",5248132,"112.80","37700.00","2025-11-05 07:48:55.684194"
"2005-10-01","Vancouver",2161810,"32.47","35300.00","2025-11-05 07:48:55.684194"
"2005-10-01","Victoria",335915,"32.47","40933.33","2025-11-05 07:48:55.684194"
"2005-10-01","Winnipeg",715431,"6.25","37600.00","2025-11-05 07:48:55.684194"
"2005-11-01","Calgary",1087482,"13.62","44700.00","2025-11-05 07:48:55.684194"
"2005-11-01","Edmonton",1043043,"13.62","43900.00","2025-11-05 07:48:55.684194"
"2005-11-01","Ottawa",1222671,"112.80","46400.00","2025-11-05 07:48:55.684194"
"2005-11-01","Toronto",5248132,"112.80","37700.00","2025-11-05 07:48:55.684194"
"2005-11-01","Vancouver",2161810,"32.47","35300.00","2025-11-05 07:48:55.684194"
"2005-11-01","Victoria",335915,"32.47","40933.33","2025-11-05 07:48:55.684194"
"2005-11-01","Winnipeg",715431,"6.25","37600.00","2025-11-05 07:48:55.684194"
"2005-12-01","Calgary",1087482,"13.62","44700.00","2025-11-05 07:48:55.684194"
"2005-12-01","Edmonton",1043043,"13.62","43900.00","2025-11-05 07:48:55.684194"
"2005-12-01","Ottawa",1222671,"112.80","46400.00","2025-11-05 07:48:55.684194"
"2005-12-01","Toronto",5248132,"112.80","37700.00","2025-11-05 07:48:55.684194"
"2005-12-01","Vancouver",2161810,"32.47","35300.00","2025-11-05 07:48:55.684194"
"2005-12-01","Victoria",335915,"32.47","40933.33","2025-11-05 07:48:55.684194"
"2005-12-01","Winnipeg",715431,"6.25","37600.00","2025-11-05 07:48:55.684194"
"2006-01-01","Calgary",1125549,"13.96","45300.00","2025-11-05 07:48:55.684194"
"2006-01-01","Edmonton",1074457,"13.96","45200.00","2025-11-05 07:48:55.684194"
"2006-01-01","Ottawa",1234152,"94.31","47000.00","2025-11-05 07:48:55.684194"
"2006-01-01","Toronto",5336387,"94.31","36400.00","2025-11-05 07:48:55.684194"
"2006-01-01","Vancouver",2190049,"29.31","36100.00","2025-11-05 07:48:55.684194"
"2006-01-01","Victoria",339963,"29.31","41350.00","2025-11-05 07:48:55.684194"
"2006-01-01","Winnipeg",718865,"8.32","38100.00","2025-11-05 07:48:55.684194"
"2006-02-01","Calgary",1125549,"13.96","45300.00","2025-11-05 07:48:55.684194"
"2006-02-01","Edmonton",1074457,"13.96","45200.00","2025-11-05 07:48:55.684194"
"2006-02-01","Ottawa",1234152,"94.31","47000.00","2025-11-05 07:48:55.684194"
"2006-02-01","Toronto",5336387,"94.31","36400.00","2025-11-05 07:48:55.684194"
"2006-02-01","Vancouver",2190049,"29.31","36100.00","2025-11-05 07:48:55.684194"
"2006-02-01","Victoria",339963,"29.31","41350.00","2025-11-05 07:48:55.684194"
"2006-02-01","Winnipeg",718865,"8.32","38100.00","2025-11-05 07:48:55.684194"
"2006-03-01","Calgary",1125549,"13.96","45300.00","2025-11-05 07:48:55.684194"
"2006-03-01","Edmonton",1074457,"13.96","45200.00","2025-11-05 07:48:55.684194"
"2006-03-01","Ottawa",1234152,"94.31","47000.00","2025-11-05 07:48:55.684194"
"2006-03-01","Toronto",5336387,"94.31","36400.00","2025-11-05 07:48:55.684194"
"2006-03-01","Vancouver",2190049,"29.31","36100.00","2025-11-05 07:48:55.684194"
"2006-03-01","Victoria",339963,"29.31","41350.00","2025-11-05 07:48:55.684194"
"2006-03-01","Winnipeg",718865,"8.32","38100.00","2025-11-05 07:48:55.684194"
"2006-04-01","Calgary",1125549,"13.96","45300.00","2025-11-05 07:48:55.684194"
"2006-04-01","Edmonton",1074457,"13.96","45200.00","2025-11-05 07:48:55.684194"
"2006-04-01","Ottawa",1234152,"94.31","47000.00","2025-11-05 07:48:55.684194"
"2006-04-01","Toronto",5336387,"94.31","36400.00","2025-11-05 07:48:55.684194"
"2006-04-01","Vancouver",2190049,"29.31","36100.00","2025-11-05 07:48:55.684194"
"2006-04-01","Victoria",339963,"29.31","41350.00","2025-11-05 07:48:55.684194"
"2006-04-01","Winnipeg",718865,"8.32","38100.00","2025-11-05 07:48:55.684194"
"2006-05-01","Calgary",1125549,"13.96","45300.00","2025-11-05 07:48:55.684194"
"2006-05-01","Edmonton",1074457,"13.96","45200.00","2025-11-05 07:48:55.684194"
"2006-05-01","Ottawa",1234152,"94.31","47000.00","2025-11-05 07:48:55.684194"
"2006-05-01","Toronto",5336387,"94.31","36400.00","2025-11-05 07:48:55.684194"
"2006-05-01","Vancouver",2190049,"29.31","36100.00","2025-11-05 07:48:55.684194"
"2006-05-01","Victoria",339963,"29.31","41350.00","2025-11-05 07:48:55.684194"
"2006-05-01","Winnipeg",718865,"8.32","38100.00","2025-11-05 07:48:55.684194"
"2006-06-01","Calgary",1125549,"13.96","45300.00","2025-11-05 07:48:55.684194"
"2006-06-01","Edmonton",1074457,"13.96","45200.00","2025-11-05 07:48:55.684194"
"2006-06-01","Ottawa",1234152,"94.31","47000.00","2025-11-05 07:48:55.684194"
"2006-06-01","Toronto",5336387,"94.31","36400.00","2025-11-05 07:48:55.684194"
"2006-06-01","Vancouver",2190049,"29.31","36100.00","2025-11-05 07:48:55.684194"
"2006-06-01","Victoria",339963,"29.31","41350.00","2025-11-05 07:48:55.684194"
"2006-06-01","Winnipeg",718865,"8.32","38100.00","2025-11-05 07:48:55.684194"
"2006-07-01","Calgary",1125549,"13.96","45300.00","2025-11-05 07:48:55.684194"
"2006-07-01","Edmonton",1074457,"13.96","45200.00","2025-11-05 07:48:55.684194"
"2006-07-01","Ottawa",1234152,"94.31","47000.00","2025-11-05 07:48:55.684194"
"2006-07-01","Toronto",5336387,"94.31","36400.00","2025-11-05 07:48:55.684194"
"2006-07-01","Vancouver",2190049,"29.31","36100.00","2025-11-05 07:48:55.684194"
"2006-07-01","Victoria",339963,"29.31","41350.00","2025-11-05 07:48:55.684194"
"2006-07-01","Winnipeg",718865,"8.32","38100.00","2025-11-05 07:48:55.684194"
"2006-08-01","Calgary",1125549,"13.96","45300.00","2025-11-05 07:48:55.684194"
"2006-08-01","Edmonton",1074457,"13.96","45200.00","2025-11-05 07:48:55.684194"
"2006-08-01","Ottawa",1234152,"94.31","47000.00","2025-11-05 07:48:55.684194"
"2006-08-01","Toronto",5336387,"94.31","36400.00","2025-11-05 07:48:55.684194"
"2006-08-01","Vancouver",2190049,"29.31","36100.00","2025-11-05 07:48:55.684194"
"2006-08-01","Victoria",339963,"29.31","41350.00","2025-11-05 07:48:55.684194"
"2006-08-01","Winnipeg",718865,"8.32","38100.00","2025-11-05 07:48:55.684194"
"2006-09-01","Calgary",1125549,"13.96","45300.00","2025-11-05 07:48:55.684194"
"2006-09-01","Edmonton",1074457,"13.96","45200.00","2025-11-05 07:48:55.684194"
"2006-09-01","Ottawa",1234152,"94.31","47000.00","2025-11-05 07:48:55.684194"
"2006-09-01","Toronto",5336387,"94.31","36400.00","2025-11-05 07:48:55.684194"
"2006-09-01","Vancouver",2190049,"29.31","36100.00","2025-11-05 07:48:55.684194"
"2006-09-01","Victoria",339963,"29.31","41350.00","2025-11-05 07:48:55.684194"
"2006-09-01","Winnipeg",718865,"8.32","38100.00","2025-11-05 07:48:55.684194"
"2006-10-01","Calgary",1125549,"13.96","45300.00","2025-11-05 07:48:55.684194"
"2006-10-01","Edmonton",1074457,"13.96","45200.00","2025-11-05 07:48:55.684194"
"2006-10-01","Ottawa",1234152,"94.31","47000.00","2025-11-05 07:48:55.684194"
"2006-10-01","Toronto",5336387,"94.31","36400.00","2025-11-05 07:48:55.684194"
"2006-10-01","Vancouver",2190049,"29.31","36100.00","2025-11-05 07:48:55.684194"
"2006-10-01","Victoria",339963,"29.31","41350.00","2025-11-05 07:48:55.684194"
"2006-10-01","Winnipeg",718865,"8.32","38100.00","2025-11-05 07:48:55.684194"
"2006-11-01","Calgary",1125549,"13.96","45300.00","2025-11-05 07:48:55.684194"
"2006-11-01","Edmonton",1074457,"13.96","45200.00","2025-11-05 07:48:55.684194"
"2006-11-01","Ottawa",1234152,"94.31","47000.00","2025-11-05 07:48:55.684194"
"2006-11-01","Toronto",5336387,"94.31","36400.00","2025-11-05 07:48:55.684194"
"2006-11-01","Vancouver",2190049,"29.31","36100.00","2025-11-05 07:48:55.684194"
"2006-11-01","Victoria",339963,"29.31","41350.00","2025-11-05 07:48:55.684194"
"2006-11-01","Winnipeg",718865,"8.32","38100.00","2025-11-05 07:48:55.684194"
"2006-12-01","Calgary",1125549,"13.96","45300.00","2025-11-05 07:48:55.684194"
"2006-12-01","Edmonton",1074457,"13.96","45200.00","2025-11-05 07:48:55.684194"
"2006-12-01","Ottawa",1234152,"94.31","47000.00","2025-11-05 07:48:55.684194"
"2006-12-01","Toronto",5336387,"94.31","36400.00","2025-11-05 07:48:55.684194"
"2006-12-01","Vancouver",2190049,"29.31","36100.00","2025-11-05 07:48:55.684194"
"2006-12-01","Victoria",339963,"29.31","41350.00","2025-11-05 07:48:55.684194"
"2006-12-01","Winnipeg",718865,"8.32","38100.00","2025-11-05 07:48:55.684194"
"2007-01-01","Calgary",1156150,"13.50","47800.00","2025-11-05 07:48:55.684194"
"2007-01-01","Edmonton",1104768,"13.50","49300.00","2025-11-05 07:48:55.684194"
"2007-01-01","Ottawa",1250095,"78.93","51300.00","2025-11-05 07:48:55.684194"
"2007-01-01","Toronto",5418316,"78.93","36700.00","2025-11-05 07:48:55.684194"
"2007-01-01","Vancouver",2218269,"26.07","37400.00","2025-11-05 07:48:55.684194"
"2007-01-01","Victoria",342279,"26.07","43500.00","2025-11-05 07:48:55.684194"
"2007-01-01","Winnipeg",722298,"9.25","38500.00","2025-11-05 07:48:55.684194"
"2007-02-01","Calgary",1156150,"13.50","47800.00","2025-11-05 07:48:55.684194"
"2007-02-01","Edmonton",1104768,"13.50","49300.00","2025-11-05 07:48:55.684194"
"2007-02-01","Ottawa",1250095,"78.93","51300.00","2025-11-05 07:48:55.684194"
"2007-02-01","Toronto",5418316,"78.93","36700.00","2025-11-05 07:48:55.684194"
"2007-02-01","Vancouver",2218269,"26.07","37400.00","2025-11-05 07:48:55.684194"
"2007-02-01","Victoria",342279,"26.07","43500.00","2025-11-05 07:48:55.684194"
"2007-02-01","Winnipeg",722298,"9.25","38500.00","2025-11-05 07:48:55.684194"
"2007-03-01","Calgary",1156150,"13.50","47800.00","2025-11-05 07:48:55.684194"
"2007-03-01","Edmonton",1104768,"13.50","49300.00","2025-11-05 07:48:55.684194"
"2007-03-01","Ottawa",1250095,"78.93","51300.00","2025-11-05 07:48:55.684194"
"2007-03-01","Toronto",5418316,"78.93","36700.00","2025-11-05 07:48:55.684194"
"2007-03-01","Vancouver",2218269,"26.07","37400.00","2025-11-05 07:48:55.684194"
"2007-03-01","Victoria",342279,"26.07","43500.00","2025-11-05 07:48:55.684194"
"2007-03-01","Winnipeg",722298,"9.25","38500.00","2025-11-05 07:48:55.684194"
"2007-04-01","Calgary",1156150,"13.50","47800.00","2025-11-05 07:48:55.684194"
"2007-04-01","Edmonton",1104768,"13.50","49300.00","2025-11-05 07:48:55.684194"
"2007-04-01","Ottawa",1250095,"78.93","51300.00","2025-11-05 07:48:55.684194"
"2007-04-01","Toronto",5418316,"78.93","36700.00","2025-11-05 07:48:55.684194"
"2007-04-01","Vancouver",2218269,"26.07","37400.00","2025-11-05 07:48:55.684194"
"2007-04-01","Victoria",342279,"26.07","43500.00","2025-11-05 07:48:55.684194"
"2007-04-01","Winnipeg",722298,"9.25","38500.00","2025-11-05 07:48:55.684194"
"2007-05-01","Calgary",1156150,"13.50","47800.00","2025-11-05 07:48:55.684194"
"2007-05-01","Edmonton",1104768,"13.50","49300.00","2025-11-05 07:48:55.684194"
"2007-05-01","Ottawa",1250095,"78.93","51300.00","2025-11-05 07:48:55.684194"
"2007-05-01","Toronto",5418316,"78.93","36700.00","2025-11-05 07:48:55.684194"
"2007-05-01","Vancouver",2218269,"26.07","37400.00","2025-11-05 07:48:55.684194"
"2007-05-01","Victoria",342279,"26.07","43500.00","2025-11-05 07:48:55.684194"
"2007-05-01","Winnipeg",722298,"9.25","38500.00","2025-11-05 07:48:55.684194"
"2007-06-01","Calgary",1156150,"13.50","47800.00","2025-11-05 07:48:55.684194"
"2007-06-01","Edmonton",1104768,"13.50","49300.00","2025-11-05 07:48:55.684194"
"2007-06-01","Ottawa",1250095,"78.93","51300.00","2025-11-05 07:48:55.684194"
"2007-06-01","Toronto",5418316,"78.93","36700.00","2025-11-05 07:48:55.684194"
"2007-06-01","Vancouver",2218269,"26.07","37400.00","2025-11-05 07:48:55.684194"
"2007-06-01","Victoria",342279,"26.07","43500.00","2025-11-05 07:48:55.684194"
"2007-06-01","Winnipeg",722298,"9.25","38500.00","2025-11-05 07:48:55.684194"
"2007-07-01","Calgary",1156150,"13.50","47800.00","2025-11-05 07:48:55.684194"
"2007-07-01","Edmonton",1104768,"13.50","49300.00","2025-11-05 07:48:55.684194"
"2007-07-01","Ottawa",1250095,"78.93","51300.00","2025-11-05 07:48:55.684194"
"2007-07-01","Toronto",5418316,"78.93","36700.00","2025-11-05 07:48:55.684194"
"2007-07-01","Vancouver",2218269,"26.07","37400.00","2025-11-05 07:48:55.684194"
"2007-07-01","Victoria",342279,"26.07","43500.00","2025-11-05 07:48:55.684194"
"2007-07-01","Winnipeg",722298,"9.25","38500.00","2025-11-05 07:48:55.684194"
"2007-08-01","Calgary",1156150,"13.50","47800.00","2025-11-05 07:48:55.684194"
"2007-08-01","Edmonton",1104768,"13.50","49300.00","2025-11-05 07:48:55.684194"
"2007-08-01","Ottawa",1250095,"78.93","51300.00","2025-11-05 07:48:55.684194"
"2007-08-01","Toronto",5418316,"78.93","36700.00","2025-11-05 07:48:55.684194"
"2007-08-01","Vancouver",2218269,"26.07","37400.00","2025-11-05 07:48:55.684194"
"2007-08-01","Victoria",342279,"26.07","43500.00","2025-11-05 07:48:55.684194"
"2007-08-01","Winnipeg",722298,"9.25","38500.00","2025-11-05 07:48:55.684194"
"2007-09-01","Calgary",1156150,"13.50","47800.00","2025-11-05 07:48:55.684194"
"2007-09-01","Edmonton",1104768,"13.50","49300.00","2025-11-05 07:48:55.684194"
"2007-09-01","Ottawa",1250095,"78.93","51300.00","2025-11-05 07:48:55.684194"
"2007-09-01","Toronto",5418316,"78.93","36700.00","2025-11-05 07:48:55.684194"
"2007-09-01","Vancouver",2218269,"26.07","37400.00","2025-11-05 07:48:55.684194"
"2007-09-01","Victoria",342279,"26.07","43500.00","2025-11-05 07:48:55.684194"
"2007-09-01","Winnipeg",722298,"9.25","38500.00","2025-11-05 07:48:55.684194"
"2007-10-01","Calgary",1156150,"13.50","47800.00","2025-11-05 07:48:55.684194"
"2007-10-01","Edmonton",1104768,"13.50","49300.00","2025-11-05 07:48:55.684194"
"2007-10-01","Ottawa",1250095,"78.93","51300.00","2025-11-05 07:48:55.684194"
"2007-10-01","Toronto",5418316,"78.93","36700.00","2025-11-05 07:48:55.684194"
"2007-10-01","Vancouver",2218269,"26.07","37400.00","2025-11-05 07:48:55.684194"
"2007-10-01","Victoria",342279,"26.07","43500.00","2025-11-05 07:48:55.684194"
"2007-10-01","Winnipeg",722298,"9.25","38500.00","2025-11-05 07:48:55.684194"
"2007-11-01","Calgary",1156150,"13.50","47800.00","2025-11-05 07:48:55.684194"
"2007-11-01","Edmonton",1104768,"13.50","49300.00","2025-11-05 07:48:55.684194"
"2007-11-01","Ottawa",1250095,"78.93","51300.00","2025-11-05 07:48:55.684194"
"2007-11-01","Toronto",5418316,"78.93","36700.00","2025-11-05 07:48:55.684194"
"2007-11-01","Vancouver",2218269,"26.07","37400.00","2025-11-05 07:48:55.684194"
"2007-11-01","Victoria",342279,"26.07","43500.00","2025-11-05 07:48:55.684194"
"2007-11-01","Winnipeg",722298,"9.25","38500.00","2025-11-05 07:48:55.684194"
"2007-12-01","Calgary",1156150,"13.50","47800.00","2025-11-05 07:48:55.684194"
"2007-12-01","Edmonton",1104768,"13.50","49300.00","2025-11-05 07:48:55.684194"
"2007-12-01","Ottawa",1250095,"78.93","51300.00","2025-11-05 07:48:55.684194"
"2007-12-01","Toronto",5418316,"78.93","36700.00","2025-11-05 07:48:55.684194"
"2007-12-01","Vancouver",2218269,"26.07","37400.00","2025-11-05 07:48:55.684194"
"2007-12-01","Victoria",342279,"26.07","43500.00","2025-11-05 07:48:55.684194"
"2007-12-01","Winnipeg",722298,"9.25","38500.00","2025-11-05 07:48:55.684194"
"2008-01-01","Calgary",1187853,"16.16","48900.00","2025-11-05 07:48:55.684194"
"2008-01-01","Edmonton",1132225,"16.16","47400.00","2025-11-05 07:48:55.684194"
"2008-01-01","Ottawa",1270565,"78.44","49800.00","2025-11-05 07:48:55.684194"
"2008-01-01","Toronto",5503077,"78.44","37400.00","2025-11-05 07:48:55.684194"
"2008-01-01","Vancouver",2254718,"32.30","36200.00","2025-11-05 07:48:55.684194"
"2008-01-01","Victoria",344737,"32.30","43383.33","2025-11-05 07:48:55.684194"
"2008-01-01","Winnipeg",726191,"9.58","40600.00","2025-11-05 07:48:55.684194"
"2008-02-01","Calgary",1187853,"16.16","48900.00","2025-11-05 07:48:55.684194"
"2008-02-01","Edmonton",1132225,"16.16","47400.00","2025-11-05 07:48:55.684194"
"2008-02-01","Ottawa",1270565,"78.44","49800.00","2025-11-05 07:48:55.684194"
"2008-02-01","Toronto",5503077,"78.44","37400.00","2025-11-05 07:48:55.684194"
"2008-02-01","Vancouver",2254718,"32.30","36200.00","2025-11-05 07:48:55.684194"
"2008-02-01","Victoria",344737,"32.30","43383.33","2025-11-05 07:48:55.684194"
"2008-02-01","Winnipeg",726191,"9.58","40600.00","2025-11-05 07:48:55.684194"
"2008-03-01","Calgary",1187853,"16.16","48900.00","2025-11-05 07:48:55.684194"
"2008-03-01","Edmonton",1132225,"16.16","47400.00","2025-11-05 07:48:55.684194"
"2008-03-01","Ottawa",1270565,"78.44","49800.00","2025-11-05 07:48:55.684194"
"2008-03-01","Toronto",5503077,"78.44","37400.00","2025-11-05 07:48:55.684194"
"2008-03-01","Vancouver",2254718,"32.30","36200.00","2025-11-05 07:48:55.684194"
"2008-03-01","Victoria",344737,"32.30","43383.33","2025-11-05 07:48:55.684194"
"2008-03-01","Winnipeg",726191,"9.58","40600.00","2025-11-05 07:48:55.684194"
"2008-04-01","Calgary",1187853,"16.16","48900.00","2025-11-05 07:48:55.684194"
"2008-04-01","Edmonton",1132225,"16.16","47400.00","2025-11-05 07:48:55.684194"
"2008-04-01","Ottawa",1270565,"78.44","49800.00","2025-11-05 07:48:55.684194"
"2008-04-01","Toronto",5503077,"78.44","37400.00","2025-11-05 07:48:55.684194"
"2008-04-01","Vancouver",2254718,"32.30","36200.00","2025-11-05 07:48:55.684194"
"2008-04-01","Victoria",344737,"32.30","43383.33","2025-11-05 07:48:55.684194"
"2008-04-01","Winnipeg",726191,"9.58","40600.00","2025-11-05 07:48:55.684194"
"2008-05-01","Calgary",1187853,"16.16","48900.00","2025-11-05 07:48:55.684194"
"2008-05-01","Edmonton",1132225,"16.16","47400.00","2025-11-05 07:48:55.684194"
"2008-05-01","Ottawa",1270565,"78.44","49800.00","2025-11-05 07:48:55.684194"
"2008-05-01","Toronto",5503077,"78.44","37400.00","2025-11-05 07:48:55.684194"
"2008-05-01","Vancouver",2254718,"32.30","36200.00","2025-11-05 07:48:55.684194"
"2008-05-01","Victoria",344737,"32.30","43383.33","2025-11-05 07:48:55.684194"
"2008-05-01","Winnipeg",726191,"9.58","40600.00","2025-11-05 07:48:55.684194"
"2008-06-01","Calgary",1187853,"16.16","48900.00","2025-11-05 07:48:55.684194"
"2008-06-01","Edmonton",1132225,"16.16","47400.00","2025-11-05 07:48:55.684194"
"2008-06-01","Ottawa",1270565,"78.44","49800.00","2025-11-05 07:48:55.684194"
"2008-06-01","Toronto",5503077,"78.44","37400.00","2025-11-05 07:48:55.684194"
"2008-06-01","Vancouver",2254718,"32.30","36200.00","2025-11-05 07:48:55.684194"
"2008-06-01","Victoria",344737,"32.30","43383.33","2025-11-05 07:48:55.684194"
"2008-06-01","Winnipeg",726191,"9.58","40600.00","2025-11-05 07:48:55.684194"
"2008-07-01","Calgary",1187853,"16.16","48900.00","2025-11-05 07:48:55.684194"
"2008-07-01","Edmonton",1132225,"16.16","47400.00","2025-11-05 07:48:55.684194"
"2008-07-01","Ottawa",1270565,"78.44","49800.00","2025-11-05 07:48:55.684194"
"2008-07-01","Toronto",5503077,"78.44","37400.00","2025-11-05 07:48:55.684194"
"2008-07-01","Vancouver",2254718,"32.30","36200.00","2025-11-05 07:48:55.684194"
"2008-07-01","Victoria",344737,"32.30","43383.33","2025-11-05 07:48:55.684194"
"2008-07-01","Winnipeg",726191,"9.58","40600.00","2025-11-05 07:48:55.684194"
"2008-08-01","Calgary",1187853,"16.16","48900.00","2025-11-05 07:48:55.684194"
"2008-08-01","Edmonton",1132225,"16.16","47400.00","2025-11-05 07:48:55.684194"
"2008-08-01","Ottawa",1270565,"78.44","49800.00","2025-11-05 07:48:55.684194"
"2008-08-01","Toronto",5503077,"78.44","37400.00","2025-11-05 07:48:55.684194"
"2008-08-01","Vancouver",2254718,"32.30","36200.00","2025-11-05 07:48:55.684194"
"2008-08-01","Victoria",344737,"32.30","43383.33","2025-11-05 07:48:55.684194"
"2008-08-01","Winnipeg",726191,"9.58","40600.00","2025-11-05 07:48:55.684194"
"2008-09-01","Calgary",1187853,"16.16","48900.00","2025-11-05 07:48:55.684194"
"2008-09-01","Edmonton",1132225,"16.16","47400.00","2025-11-05 07:48:55.684194"
"2008-09-01","Ottawa",1270565,"78.44","49800.00","2025-11-05 07:48:55.684194"
"2008-09-01","Toronto",5503077,"78.44","37400.00","2025-11-05 07:48:55.684194"
"2008-09-01","Vancouver",2254718,"32.30","36200.00","2025-11-05 07:48:55.684194"
"2008-09-01","Victoria",344737,"32.30","43383.33","2025-11-05 07:48:55.684194"
